site,period,support,horizon,scope,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
YULARA_COMBINED,2017,complete_H144,144,full,24,Original A,Daily,119.11471754607,16.127412018746615,102.9873055273234,51.133110313686124,146.70510629384916,-6.385854432664723,-9.428962628661615,-3.126561800035982,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Original A,Last-value,119.11471754607,48.01295656509452,71.10176098097548,19.03988867794985,114.77731330300104,-1.4808869535992408,-2.3778983153924838,-0.393869074159219,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Expanded A,Daily,29.791475715079965,16.127412018746615,13.66406369633335,11.655240822149716,15.654839959323755,-0.8472570602431531,-1.0713378892430587,-0.662321946171719,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Expanded A,Last-value,29.791475715079965,48.01295656509452,-18.221480850014554,-18.788816195458374,-17.592212958943005,0.3795117433626571,0.3755781795002985,0.3829589260843744,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Original B,Daily,35.84309736638385,16.127412018746615,19.71568534763724,6.462631134742149,31.580525585946877,-1.222495297120182,-2.044728489748838,-0.3937854847443125,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Original B,Last-value,35.84309736638385,48.01295656509452,-12.169859198710668,-25.520895545740444,-0.6179131030057543,0.2534703144600383,0.0130365056536146,0.5296272025002757,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Expanded B,Daily,15.85564408286929,16.127412018746615,-0.2717679358773246,-1.4934849585012413,1.208935039423718,0.0168513048194849,-0.0779485698888004,0.087062036952854,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Expanded B,Last-value,15.85564408286929,48.01295656509452,-32.15731248222523,-34.13024389700554,-30.233051460859283,0.6697632219050562,0.6407723256949952,0.6975328030003951,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted42,Daily,16.000498049926367,16.127412018746615,-0.1269139688202472,-1.3159076507264784,1.0986484880407932,0.0078694565918401,-0.0756554629888301,0.0745870034542636,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted42,Last-value,16.000498049926367,48.01295656509452,-32.01245851516815,-33.70216834330317,-30.360019924133788,0.6667462452924895,0.6480091180671519,0.6855801035116579,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted43,Daily,15.76375481316473,16.127412018746615,-0.3636572055818838,-1.5671861257319306,0.9091210469674872,0.022549011903408,-0.0627592806277714,0.0894876684864685,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted43,Last-value,15.76375481316473,48.01295656509452,-32.24920175192979,-33.89946223622216,-30.59267603262567,0.6716770650898637,0.6535040764611534,0.6894843124820396,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted44,Daily,15.718183324932005,16.127412018746615,-0.4092286938146099,-1.5842709210113757,0.8242242990931437,0.025374728030692,-0.0567385329172681,0.0909194435993598,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted44,Last-value,15.718183324932005,48.01295656509452,-32.29477324016251,-34.036997853789885,-30.49488111193522,0.6726262148921871,0.6522073445266308,0.6919953843243646,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted mean,Daily,15.827478729341031,16.127412018746615,-0.2999332894055803,-1.4911181300150484,0.9489452947442644,0.0185977321753134,-0.0647101623463879,0.0850933362468123,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted mean,Last-value,15.827478729341031,48.01295656509452,-32.18547783575348,-33.87202700183591,-30.50575977591247,0.67034984175818,0.6513739508551399,0.6887436333849385,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted mean,Original B,15.827478729341031,35.84309736638385,-20.015618637042817,-31.53928574013794,-6.925229314052389,0.5584232420665424,0.3055045789690344,0.6641723646789922,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Inverted mean,Expanded B,15.827478729341031,15.85564408286929,-0.0281653535282557,-1.0338687685766492,0.8852700303259743,0.0017763613626195,-0.0594210561965204,0.0608982364181267,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Expanded B,Original B,15.85564408286929,35.84309736638385,-19.98745328351456,-30.70758886064076,-7.680818051113031,0.5576374463179119,0.3374948809639053,0.6481584673664029,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,24,Expanded B,Expanded A,15.85564408286929,29.791475715079965,-13.935831632210675,-15.407072311382262,-12.457887729403724,0.4677791649359814,0.4232082699412435,0.5109052521784139,92,92,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,48,Original A,Daily,119.11471754606998,16.127412018746615,102.98730552732336,6.214081842531563,159.46145030217468,-6.385854432664721,-10.416813898294496,-0.3945110919846093,46,46,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,48,Original A,Last-value,119.11471754606998,48.01295656509452,71.10176098097546,-25.0971747171391,127.26505508351369,-1.4808869535992404,-2.6589788684643607,0.5290824470759612,46,46,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,48,Expanded A,Daily,29.791475715079965,16.127412018746615,13.66406369633335,11.23293316022544,16.324471499705684,-0.8472570602431531,-1.1569064064028254,-0.6284280092299528,46,46,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,48,Expanded A,Last-value,29.791475715079965,48.01295656509452,-18.221480850014554,-18.886451170436494,-17.449159839596895,0.3795117433626571,0.3750316062999548,0.3829838288135591,46,46,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,48,Original B,Daily,35.84309736638384,16.127412018746615,19.715685347637223,-2.7380169814813504,35.44501774322784,-1.2224952971201812,-2.3213877430532293,0.1702289494787939,46,46,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,48,Original B,Last-value,35.84309736638384,48.01295656509452,-12.169859198710682,-33.75472160300505,2.9757304460817138,0.2534703144600386,-0.0627966343611297,0.7087770297581013,46,46,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,48,Expanded B,Daily,15.855644082869292,16.127412018746615,-0.2717679358773228,-1.8450468138766327,1.6739522978229568,0.0168513048194848,-0.1132741802492088,0.1074877863244293,46,46,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,48,Expanded B,Last-value,15.855644082869292,48.01295656509452,-32.15731248222523,-34.55308658487047,-29.680361674871023,0.6697632219050562,0.6319207151754878,0.7049342270148904,46,46,3815424,2000,2000,0,2000
YULARA_COMBINED,2017,complete_H144,144,full,48,Inverted42,Daily,16.000498049926367,16.127412018746615,-0.1269139688202472,-1.622707635060168,1.4600788533609876,0.0078694565918401,-0.1021576236558545,0.0918559870012411,46,46,3815424,2000,2000,0,2000
